name,time,mean_value
ping4,1505420700000000000,0.2
ping4,1505421000000000000,0.2
ping4,1505421300000000000,0.2
ping4,1505421600000000000,0.2
ping4,1505421900000000000,0.2
ping4,1505422200000000000,0.2
ping4,1505422500000000000,0.2
ping4,1505422800000000000,0.2
ping4,1505423100000000000,0.2
ping4,1505423400000000000,0.2
ping4,1505423700000000000,0.2
ping4,1505424000000000000,0.2
ping4,1505424300000000000,0.2
ping4,1505424600000000000,0.2
ping4,1505424900000000000,0.2
ping4,1505425200000000000,0.2
ping4,1505425500000000000,0.2
ping4,1505425800000000000,0.2
ping4,1505426100000000000,0.2
ping4,1505426400000000000,0.2
ping4,1505426700000000000,0.2
ping4,1505427000000000000,0.2
ping4,1505427300000000000,0.2
ping4,1505427600000000000,0.2
ping4,1505427900000000000,0.2
ping4,1505428200000000000,0.2
ping4,1505428500000000000,0.2
ping4,1505428800000000000,0.2
ping4,1505429100000000000,0.2
ping4,1505429400000000000,0.2
ping4,1505429700000000000,0.2
ping4,1505430000000000000,0.2
ping4,1505430300000000000,0.2
ping4,1505430600000000000,0.2
ping4,1505430900000000000,0.2
ping4,1505431200000000000,0.2
ping4,1505431500000000000,0.2
ping4,1505431800000000000,0.2
ping4,1505432100000000000,0.2
ping4,1505432400000000000,0.2
ping4,1505432700000000000,0.2
ping4,1505433000000000000,0.2
ping4,1505433300000000000,0.2
ping4,1505433600000000000,0.2
ping4,1505433900000000000,0.2
ping4,1505434200000000000,0.2
ping4,1505434500000000000,0.2
ping4,1505434800000000000,0.2
ping4,1505435100000000000,0.2
ping4,1505435400000000000,0.2
ping4,1505435700000000000,0.2
ping4,1505436000000000000,0.2
ping4,1505436300000000000,0.2
ping4,1505436600000000000,0.2
ping4,1505436900000000000,0.2
ping4,1505437200000000000,0.2
ping4,1505437500000000000,0.2
ping4,1505437800000000000,0.2
ping4,1505438100000000000,0.2
ping4,1505438400000000000,0.2
ping4,1505438700000000000,0.2
ping4,1505439000000000000,0.2
ping4,1505439300000000000,0.2
ping4,1505439600000000000,0.2
ping4,1505439900000000000,0.2
ping4,1505440200000000000,0.2
ping4,1505440500000000000,0.2
ping4,1505440800000000000,0.2
ping4,1505441100000000000,0.2
ping4,1505441400000000000,0.2
ping4,1505441700000000000,0.2
ping4,1505442000000000000,0.2
ping4,1505442300000000000,0.2
ping4,1505442600000000000,0.2
ping4,1505442900000000000,0.2
ping4,1505443200000000000,0.2
ping4,1505443500000000000,0.2
ping4,1505443800000000000,0.033122
ping4,1505444100000000000,0.032814
ping4,1505444400000000000,0.03179
ping4,1505444700000000000,0.032899
ping4,1505445000000000000,0.031853
ping4,1505445300000000000,0.032711
ping4,1505445600000000000,0.031955
ping4,1505445900000000000,0.032069
ping4,1505446200000000000,0.03217
ping4,1505446500000000000,0.033609
ping4,1505446800000000000,0.031939
ping4,1505447100000000000,0.03264
ping4,1505447400000000000,0.031508
ping4,1505447700000000000,0.031874
ping4,1505448000000000000,0.033048
ping4,1505448300000000000,0.032362
ping4,1505448600000000000,0.032585
ping4,1505448900000000000,0.032451
ping4,1505449200000000000,0.031611
ping4,1505449500000000000,0.032952
ping4,1505449800000000000,0.031555
ping4,1505450100000000000,0.032697
ping4,1505450400000000000,0.031889
ping4,1505450700000000000,0.031936
ping4,1505451000000000000,0.031605
ping4,1505451300000000000,0.032679
ping4,1505451600000000000,0.031117
ping4,1505451900000000000,0.031124
ping4,1505452200000000000,0.031194
ping4,1505452500000000000,0.031598
ping4,1505452800000000000,0.031567
ping4,1505453100000000000,0.031901
ping4,1505453400000000000,0.031617
ping4,1505453700000000000,0.031627
ping4,1505454000000000000,0.031591
ping4,1505454300000000000,0.031711
ping4,1505454600000000000,0.031583
ping4,1505454900000000000,0.031647
ping4,1505455200000000000,0.0316085
ping4,1505455500000000000,0.031636
ping4,1505455800000000000,0.031581
ping4,1505456100000000000,0.031662
ping4,1505456400000000000,0.031566
ping4,1505456700000000000,0.031665
ping4,1505457000000000000,0.031596
ping4,1505457300000000000,0.031718
ping4,1505457600000000000,0.031667
ping4,1505457900000000000,0.031612
ping4,1505458200000000000,0.031642
ping4,1505458500000000000,0.031666
ping4,1505458800000000000,0.031983
ping4,1505459100000000000,0.031938
ping4,1505459400000000000,0.03208
ping4,1505459700000000000,0.031848
ping4,1505460000000000000,0.031897
ping4,1505460300000000000,0.031921
ping4,1505460600000000000,0.031903
ping4,1505460900000000000,0.031982
ping4,1505461200000000000,0.031924
ping4,1505461500000000000,0.03219
ping4,1505461800000000000,0.031944
ping4,1505462100000000000,0.031947
ping4,1505462400000000000,0.031891
ping4,1505462700000000000,0.03195
ping4,1505463000000000000,0.031812
ping4,1505463300000000000,0.032147
ping4,1505463600000000000,0.031843
ping4,1505463900000000000,0.031947
ping4,1505464200000000000,0.031879
ping4,1505464500000000000,0.031873
ping4,1505464800000000000,0.032636
ping4,1505465100000000000,0.032021
ping4,1505465400000000000,0.031465
ping4,1505465700000000000,0.031458
ping4,1505466000000000000,0.031794
ping4,1505466300000000000,0.031682
ping4,1505466600000000000,0.031567
ping4,1505466900000000000,0.031427
ping4,1505467200000000000,0.031828
ping4,1505467500000000000,0.031469
ping4,1505467800000000000,0.031602
ping4,1505468100000000000,0.031476
ping4,1505468400000000000,0.031453
ping4,1505468700000000000,0.032655
ping4,1505469000000000000,0.031534
ping4,1505469300000000000,0.031518
ping4,1505469600000000000,0.031534
ping4,1505469900000000000,0.03149
ping4,1505470200000000000,0.031473
ping4,1505470500000000000,0.031587
ping4,1505470800000000000,0.031727
ping4,1505471100000000000,0.031496
ping4,1505471400000000000,0.031632
ping4,1505471700000000000,0.031445
